"_id","timestamp","device_id","screen_status"
"1","1.636793188927E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"2","1.636793188944E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"3","1.636793283616E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"4","1.636793285667E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"5","1.636793330508E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"6","1.63679333052E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"7","1.636793357086E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"8","1.636793360022E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"9","1.636793380073E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"10","1.636793380079E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"11","1.636793381913E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"12","1.636793382454E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"13","1.63679339281E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"14","1.636793392826E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"15","1.636793414924E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"16","1.636793419086E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"17","1.636793540842E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"18","1.636793540848E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"19","1.636793590619E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"20","1.636793591176E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"21","1.636793593309E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"22","1.636793593317E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"23","1.636793628692E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"24","1.636793629637E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"25","1.636793632645E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"26","1.636793632654E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"27","1.636793717355E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"28","1.63679371862E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"29","1.636793720737E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"30","1.636793720743E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"31","1.636794513381E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"32","1.636794515627E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"33","1.636794533201E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"34","1.636794533209E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"35","1.63679525063E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"36","1.636795252688E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"37","1.636795256949E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"38","1.636795256959E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"39","1.636795260289E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"40","1.636795262337E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"41","1.636795267229E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"42","1.636795267237E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"43","1.636795408012E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"44","1.636795410343E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"45","1.63679554385E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"46","1.636795543857E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"47","1.63679675874E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"48","1.63679676097E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"49","1.636796773279E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"50","1.636796773288E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"51","1.636797059592E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"52","1.63679707022E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"53","1.636797070226E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"54","1.636797122553E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
"55","1.636797124672E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","3"
"56","1.636797175108E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","0"
"57","1.636797175118E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","2"
"58","1.636798890607E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","1"
